[2026-06-12 15:47:45] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 4  | GAME_ID: 2250802400960 | LAST_CLICK: (143, 485) | PREVIEW: None
[2026-06-12 15:47:50] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 4  | GAME_ID: 2250802400960 | LAST_CLICK: (143, 485) | PREVIEW: None
[2026-06-12 15:47:50] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 4  | GAME_ID: 2250802400960 | LAST_CLICK: (557, 204) | PREVIEW: (2, 7)
[2026-06-12 15:47:52] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 4  | GAME_ID: 2250802400960 | LAST_CLICK: (557, 204) | PREVIEW: (2, 7)
[2026-06-12 15:47:54] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 4  | GAME_ID: 2250802400960 | LAST_CLICK: (557, 204) | PREVIEW: (2, 7)
[2026-06-12 15:47:54] STAGE: B_HUMAN_PLAY    | PLAYER: 2 | GAMEOVER: False | MOVES: 4  | GAME_ID: 2250802400960 | LAST_CLICK: (560, 208) | PREVIEW: (2, 7)
[2026-06-12 15:47:54] STAGE: A_PAGE_LOAD     | PLAYER: 2 | GAMEOVER: False | MOVES: 5  | GAME_ID: 2250802400960 | LAST_CLICK: (560, 208) | PREVIEW: None
[2026-06-12 15:47:54] STAGE: C_AI_BEFORE     | PLAYER: 2 | GAMEOVER: False | MOVES: 5  | GAME_ID: 2250802400960 | LAST_CLICK: (560, 208) | PREVIEW: None
[2026-06-12 15:48:16] STAGE: D_AI_AFTER      | PLAYER: 1 | GAMEOVER: False | MOVES: 6  | GAME_ID: 2250802400960 | LAST_CLICK: (560, 208) | PREVIEW: None
[2026-06-12 15:48:16] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 6  | GAME_ID: 2250802400960 | LAST_CLICK: (560, 208) | PREVIEW: None
[2026-06-12 15:49:10] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 6  | GAME_ID: 2250802400960 | LAST_CLICK: (560, 208) | PREVIEW: None
[2026-06-12 15:49:11] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 6  | GAME_ID: 2250802400960 | LAST_CLICK: (559, 560) | PREVIEW: (7, 7)
[2026-06-12 15:49:11] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 6  | GAME_ID: 2250802400960 | LAST_CLICK: (559, 560) | PREVIEW: (7, 7)
[2026-06-12 15:49:11] STAGE: B_HUMAN_PLAY    | PLAYER: 2 | GAMEOVER: False | MOVES: 6  | GAME_ID: 2250802400960 | LAST_CLICK: (563, 558) | PREVIEW: (7, 7)
[2026-06-12 15:49:11] STAGE: A_PAGE_LOAD     | PLAYER: 2 | GAMEOVER: False | MOVES: 7  | GAME_ID: 2250802400960 | LAST_CLICK: (563, 558) | PREVIEW: None
[2026-06-12 15:49:11] STAGE: C_AI_BEFORE     | PLAYER: 2 | GAMEOVER: False | MOVES: 7  | GAME_ID: 2250802400960 | LAST_CLICK: (563, 558) | PREVIEW: None
[2026-06-12 15:49:59] STAGE: D_AI_AFTER      | PLAYER: 1 | GAMEOVER: False | MOVES: 8  | GAME_ID: 2250802400960 | LAST_CLICK: (563, 558) | PREVIEW: None
[2026-06-12 15:49:59] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 8  | GAME_ID: 2250802400960 | LAST_CLICK: (563, 558) | PREVIEW: None
[2026-06-12 15:51:31] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 8  | GAME_ID: 2250802400960 | LAST_CLICK: (563, 558) | PREVIEW: None
[2026-06-12 15:51:32] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 8  | GAME_ID: 2250802400960 | LAST_CLICK: (568, 348) | PREVIEW: (4, 7)
[2026-06-12 15:51:32] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 8  | GAME_ID: 2250802400960 | LAST_CLICK: (568, 348) | PREVIEW: (4, 7)
[2026-06-12 15:51:32] STAGE: B_HUMAN_PLAY    | PLAYER: 2 | GAMEOVER: False | MOVES: 8  | GAME_ID: 2250802400960 | LAST_CLICK: (560, 352) | PREVIEW: (4, 7)
[2026-06-12 15:51:32] STAGE: A_PAGE_LOAD     | PLAYER: 2 | GAMEOVER: False | MOVES: 9  | GAME_ID: 2250802400960 | LAST_CLICK: (560, 352) | PREVIEW: None
[2026-06-12 15:51:32] STAGE: C_AI_BEFORE     | PLAYER: 2 | GAMEOVER: False | MOVES: 9  | GAME_ID: 2250802400960 | LAST_CLICK: (560, 352) | PREVIEW: None
[2026-06-12 15:52:09] STAGE: D_AI_AFTER      | PLAYER: 1 | GAMEOVER: False | MOVES: 10 | GAME_ID: 2250802400960 | LAST_CLICK: (560, 352) | PREVIEW: None
[2026-06-12 15:52:09] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 10 | GAME_ID: 2250802400960 | LAST_CLICK: (560, 352) | PREVIEW: None
[2026-06-12 15:52:27] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 10 | GAME_ID: 2250802400960 | LAST_CLICK: (560, 352) | PREVIEW: None
[2026-06-12 15:52:27] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 10 | GAME_ID: 2250802400960 | LAST_CLICK: (619, 497) | PREVIEW: (6, 8)
[2026-06-12 15:52:27] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 10 | GAME_ID: 2250802400960 | LAST_CLICK: (619, 497) | PREVIEW: (6, 8)
[2026-06-12 15:52:27] STAGE: B_HUMAN_PLAY    | PLAYER: 2 | GAMEOVER: False | MOVES: 10 | GAME_ID: 2250802400960 | LAST_CLICK: (627, 489) | PREVIEW: (6, 8)
[2026-06-12 15:52:27] STAGE: A_PAGE_LOAD     | PLAYER: 2 | GAMEOVER: False | MOVES: 11 | GAME_ID: 2250802400960 | LAST_CLICK: (627, 489) | PREVIEW: None
[2026-06-12 15:52:27] STAGE: C_AI_BEFORE     | PLAYER: 2 | GAMEOVER: False | MOVES: 11 | GAME_ID: 2250802400960 | LAST_CLICK: (627, 489) | PREVIEW: None
[2026-06-12 15:54:30] STAGE: D_AI_AFTER      | PLAYER: 1 | GAMEOVER: False | MOVES: 12 | GAME_ID: 2250802400960 | LAST_CLICK: (627, 489) | PREVIEW: None
[2026-06-12 15:54:30] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 12 | GAME_ID: 2250802400960 | LAST_CLICK: (627, 489) | PREVIEW: None
[2026-06-12 15:54:39] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 12 | GAME_ID: 2250802400960 | LAST_CLICK: (627, 489) | PREVIEW: None
[2026-06-12 15:54:39] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 12 | GAME_ID: 2250802400960 | LAST_CLICK: (75, 554) | PREVIEW: (7, 0)
[2026-06-12 15:54:39] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 12 | GAME_ID: 2250802400960 | LAST_CLICK: (75, 554) | PREVIEW: (7, 0)
[2026-06-12 15:54:39] STAGE: B_HUMAN_PLAY    | PLAYER: 2 | GAMEOVER: False | MOVES: 12 | GAME_ID: 2250802400960 | LAST_CLICK: (75, 558) | PREVIEW: (7, 0)
[2026-06-12 15:54:39] STAGE: A_PAGE_LOAD     | PLAYER: 2 | GAMEOVER: False | MOVES: 13 | GAME_ID: 2250802400960 | LAST_CLICK: (75, 558) | PREVIEW: None
[2026-06-12 15:54:39] STAGE: C_AI_BEFORE     | PLAYER: 2 | GAMEOVER: False | MOVES: 13 | GAME_ID: 2250802400960 | LAST_CLICK: (75, 558) | PREVIEW: None
[2026-06-12 15:54:42] STAGE: D_AI_AFTER      | PLAYER: 1 | GAMEOVER: False | MOVES: 14 | GAME_ID: 2250802400960 | LAST_CLICK: (75, 558) | PREVIEW: None
[2026-06-12 15:54:42] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 14 | GAME_ID: 2250802400960 | LAST_CLICK: (75, 558) | PREVIEW: None
[2026-06-12 15:54:49] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 14 | GAME_ID: 2250802400960 | LAST_CLICK: (75, 558) | PREVIEW: None
[2026-06-12 15:54:49] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 14 | GAME_ID: 2250802400960 | LAST_CLICK: (136, 416) | PREVIEW: (5, 1)
[2026-06-12 15:54:50] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 14 | GAME_ID: 2250802400960 | LAST_CLICK: (136, 416) | PREVIEW: (5, 1)
[2026-06-12 15:54:52] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 14 | GAME_ID: 2250802400960 | LAST_CLICK: (136, 416) | PREVIEW: (5, 1)
[2026-06-12 15:54:52] STAGE: B_HUMAN_PLAY    | PLAYER: 2 | GAMEOVER: False | MOVES: 14 | GAME_ID: 2250802400960 | LAST_CLICK: (136, 414) | PREVIEW: (5, 1)
[2026-06-12 15:54:52] STAGE: A_PAGE_LOAD     | PLAYER: 2 | GAMEOVER: False | MOVES: 15 | GAME_ID: 2250802400960 | LAST_CLICK: (136, 414) | PREVIEW: None
[2026-06-12 15:54:52] STAGE: C_AI_BEFORE     | PLAYER: 2 | GAMEOVER: False | MOVES: 15 | GAME_ID: 2250802400960 | LAST_CLICK: (136, 414) | PREVIEW: None
[2026-06-12 15:54:54] STAGE: D_AI_AFTER      | PLAYER: 1 | GAMEOVER: False | MOVES: 16 | GAME_ID: 2250802400960 | LAST_CLICK: (136, 414) | PREVIEW: None
[2026-06-12 15:54:54] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 16 | GAME_ID: 2250802400960 | LAST_CLICK: (136, 414) | PREVIEW: None
[2026-06-12 15:55:37] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 16 | GAME_ID: 2250802400960 | LAST_CLICK: (136, 414) | PREVIEW: None
[2026-06-12 15:55:37] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 16 | GAME_ID: 2250802400960 | LAST_CLICK: (208, 556) | PREVIEW: (7, 2)
[2026-06-12 15:55:37] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 16 | GAME_ID: 2250802400960 | LAST_CLICK: (208, 556) | PREVIEW: (7, 2)
[2026-06-12 15:55:39] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 16 | GAME_ID: 2250802400960 | LAST_CLICK: (208, 556) | PREVIEW: (7, 2)
[2026-06-12 15:55:39] STAGE: B_HUMAN_PLAY    | PLAYER: 2 | GAMEOVER: False | MOVES: 16 | GAME_ID: 2250802400960 | LAST_CLICK: (209, 561) | PREVIEW: (7, 2)
[2026-06-12 15:55:39] STAGE: A_PAGE_LOAD     | PLAYER: 2 | GAMEOVER: False | MOVES: 17 | GAME_ID: 2250802400960 | LAST_CLICK: (209, 561) | PREVIEW: None
[2026-06-12 15:55:40] STAGE: C_AI_BEFORE     | PLAYER: 2 | GAMEOVER: False | MOVES: 17 | GAME_ID: 2250802400960 | LAST_CLICK: (209, 561) | PREVIEW: None
[2026-06-12 15:57:38] STAGE: D_AI_AFTER      | PLAYER: 1 | GAMEOVER: False | MOVES: 18 | GAME_ID: 2250802400960 | LAST_CLICK: (209, 561) | PREVIEW: None
